ignore,publish,id,track,chords,key,album,artists,composer,language,loop_start,loop_end,title,channel,upload_date,uploader,baritone,id_related
0,0,JYlbX_gzlmg,Khoj  - Hindi,,,Passing By,,,Hindi,0.0,784.0,KHOJ (PASSING BY) - HINDI Ukulele Tutorial | ukeguide,UCtYAlKT4ZHsP37o8d7gIjkQ,20201022,ukeguide,0.0,
0,0,rkueJtVsXv8,Khud Se  - Hindi,,,Osho Jain,Osho Jain,Osho Jain,Hindi,0.0,519.0,KHUD SE (Osho Jain) - Hindi Ukulele Tutorial | ukeguide,UCtYAlKT4ZHsP37o8d7gIjkQ,20200723,ukeguide,0.0,
0,0,EFcQszixznU,Khulne Do,,,Chhapaak,Arijit Singh,"Shankar, Ehsaan, Loy",Hindi,0.0,402.0,Khulne Do | Arijit Singh | Fingerpicking Ukulele Tutorial,UCXNmFZc8m5w0tQbpMs6rGyA,20200124,BollyUke - Bollywood Ukulele Tutorials,0.0,
0,0,47Jp3j64VSI,Kis Raste Hai Jaana,,,Judgemental Hai Kya,"Surabhi Dashputra, Arjunna Harjaie",Arjunna Harjaie,Hindi,0.0,296.0,Kis Raste Hai Jaana | Easy Ukulele Tutorial,UCXNmFZc8m5w0tQbpMs6rGyA,20190801,BollyUke - Bollywood Ukulele Tutorials,0.0,
0,0,a4iq1X62CC8,Kisi Ki Muskurahaton Pe Ho Nisar,,,Anari,Mukesh,Shankar Jaikishan,Hindi,0.0,570.0,Kisi Ki Muskurahaton Pe Ho Nisar | Intermediate Ukulele Tutorial,UCXNmFZc8m5w0tQbpMs6rGyA,20210119,BollyUke - Bollywood Ukulele Tutorials,0.0,
0,0,s8ZpeMG25Xk,Kodom - Blue Jeans,,,,,,Bengali,0.0,478.0,Kodom - Blue Jeans Ukulele Tutorial,UC6PY2h7NZP_fGKFpIIGmwwg,20190701,Nabid Alam,0.0,
0,0,EyI-hSjbqtY,Krishna Nee Begane Baaro,,,Colonial Cousins) -Ukulele Cover (With Chords,,,Hindi,0.0,120.0,Krishna Nee Begane Baaro (Colonial Cousins) -Ukulele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20201016,One String by Priyanka Ravindran,0.0,
0,0,DtitAEZy5pc,Kuch Na Kaho Kuch Bhi Na Kaho,"C,Am,F,G,D",,,,,Hindi,0.0,867.0,Kuch na Kaho Kuch bhi na kaho Ukulele Tutorial,UCJjV2CHB58Xerdqbwyka7QA,20200212,Sayali Tank,0.0,
0,0,kE6_7uZJk74,Kuch Toh Bata Zindagi -,,,Ukulele Cover & Tutorial,,,Hindi,0.0,83.0,Kuch toh bata Zindagi - Easy Ukulele Cover & Tutorial,UCTxnAa2uGE2lk1CSfL8Amjw,20201124,the chashmish,0.0,
0,0,CbPwfAhllrg,Kuch Toh Log Kahenge-Ukelele Cover,,,With Chords,,,Hindi,0.0,116.0,Kuch Toh Log Kahenge-Ukelele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200608,One String by Priyanka Ravindran,0.0,
